Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary
dataset_thema09-weka.filters.unsupervised.attribute.StringToNominal-Rlast,3,1,weka.classifiers.bayes.NaiveBayes,'',5.99523E+18,2.02E+07,456203,50690,43466,7224,0,85.74866838,14.25133162,0,0.030727231,0.050205626,0.158620178,98.703689,99.46374828,229377.6506,222574.417,6803.23368,4.525106543,4.390894002,0.134212541,17845.51396,0.352051962,7.779970679,0,0,2.04E-05,1,0.999979551,48901,1,1788,0,0,0,-8.49E-04,0.73448631,0.078567495,0.142513316,0.11227291,0.88772709,0.857486684,NaN,0.142513316,NaN,NaN,0.621845522,0.087616534,NaN,0.142513316,0.259,0.378,0.25,0.375,250,375,22355,3.51E+07,3906388,94.69520616,75.21836494,?
dataset_thema09-weka.filters.unsupervised.attribute.StringToNominal-Rlast,3,2,weka.classifiers.bayes.NaiveBayes,'',5.99523E+18,2.02E+07,456203,50690,43453,7237,0,85.72302229,14.27697771,0,0.031353763,0.050210837,0.158632031,98.71400251,99.47125827,229375.2984,222576.9941,6798.30437,4.525060139,4.390944843,0.134115296,17750.09983,0.350169655,7.73845307,5.59E-04,1,0,0,1,48902,0.999440716,1787,1,5.59E-04,0.001117943,0.023228582,0.734680062,0.07995425,0.142769777,0.111861669,0.888138331,0.857230223,NaN,0.142769777,NaN,NaN,0.621636432,0.086758037,NaN,0.142769777,0.272,0.383,0.265625,0.390625,265.625,390.625,22355,3.51E+07,3906388,94.8214638,75.38909002,?
dataset_thema09-weka.filters.unsupervised.attribute.StringToNominal-Rlast,3,3,weka.classifiers.bayes.NaiveBayes,'',5.99523E+18,2.02E+07,456203,50690,43476,7214,0,85.76839613,14.23160387,0,0.031138753,0.050216943,0.158646954,98.72589859,99.48049274,229377.3103,222635.5521,6741.75822,4.525099828,4.392100061,0.132999768,17724.83287,0.349671195,7.727369744,0,0,4.09E-05,2,0.999959103,48901,1,1787,0,0,0,-0.001200762,0.722223319,0.073978746,0.142316039,0.111722862,0.888277138,0.857683961,NaN,0.142316039,NaN,NaN,0.62018726,0.086719847,NaN,0.142316039,0.266,0.404,0.265625,0.40625,265.625,406.25,22355,3.51E+07,3906388,94.75833498,75.2509424,?
dataset_thema09-weka.filters.unsupervised.attribute.StringToNominal-Rlast,3,4,weka.classifiers.bayes.NaiveBayes,'',5.99523E+18,2.02E+07,456204,50689,43393,7296,0,85.60634457,14.39365543,0,0.032826576,0.050212841,0.15862772,98.71793204,99.46854438,229371.3219,222492.9263,6878.395579,4.52507096,4.389372966,0.135697993,17758.66532,0.350345545,7.742321566,0,0,2.04E-05,1,0.999979551,48901,1,1787,0,0,0,-8.49E-04,0.726971536,0.075149433,0.143936554,0.11157736,0.88842264,0.856063446,NaN,0.143936554,NaN,NaN,0.622264815,0.086873383,NaN,0.143936554,0.254,0.39,0.25,0.390625,250,390.625,22355,3.51E+07,3906311,94.76612283,75.30489317,?
dataset_thema09-weka.filters.unsupervised.attribute.StringToNominal-Rlast,3,5,weka.classifiers.bayes.NaiveBayes,'',5.99523E+18,2.02E+07,456204,50689,43414,7275,0,85.64777368,14.35222632,0,0.031811619,0.050214137,0.158630053,98.72028525,99.46978575,229378.7124,222572.5507,6806.161714,4.525216761,4.390943808,0.134272953,17705.34869,0.349293707,7.718828181,0,0,4.09E-05,2,0.999959102,48900,1,1787,0,0,0,-0.001200786,0.722500292,0.075927952,0.143522263,0.112238388,0.887761612,0.856477737,NaN,0.143522263,NaN,NaN,0.62181141,0.087053757,NaN,0.143522263,0.254,0.386,0.25,0.390625,250,390.625,22355,3.51E+07,3906311,94.73455779,75.22699365,?
dataset_thema09-weka.filters.unsupervised.attribute.StringToNominal-Rlast,3,6,weka.classifiers.bayes.NaiveBayes,'',5.99523E+18,2.02E+07,456204,50689,43483,7206,0,85.78389789,14.21610211,0,0.030673349,0.050209166,0.158617461,98.71051995,99.46189813,229377.8797,222278.0515,7099.828261,4.525200334,4.385133885,0.14006645,17809.14491,0.351341414,7.764107391,0,0,2.04E-05,1,0.999979551,48901,1,1787,0,0,0,-8.49E-04,0.744831817,0.079952749,0.142161021,0.112007289,0.887992711,0.857838979,NaN,0.142161021,NaN,NaN,0.621728471,0.087014904,NaN,0.142161021,0.25,0.376,0.25,0.375,250,375,22355,3.51E+07,3906311,94.7483675,75.28292561,?
dataset_thema09-weka.filters.unsupervised.attribute.StringToNominal-Rlast,3,7,weka.classifiers.bayes.NaiveBayes,'',5.99523E+18,2.02E+07,456204,50689,43406,7283,0,85.63199116,14.36800884,0,0.032251496,0.05021971,0.158640224,98.73128005,99.47620721,229378.6606,222582.9904,6795.670159,4.525215739,4.391149765,0.134065974,17713.2256,0.349449103,7.722263945,0,0,6.13E-05,3,0.999938653,48899,1,1787,0,0,0,-0.001470671,0.730216323,0.076325985,0.143680088,0.111982152,0.888017848,0.856319912,NaN,0.143680088,NaN,NaN,0.620798805,0.087025335,NaN,0.143680088,0.249,0.378,0.234375,0.390625,234.375,390.625,22355,3.51E+07,3906311,94.8568723,75.32616757,?
dataset_thema09-weka.filters.unsupervised.attribute.StringToNominal-Rlast,3,8,weka.classifiers.bayes.NaiveBayes,'',5.99523E+18,2.02E+07,456204,50689,43472,7217,0,85.76219693,14.23780307,0,0.031135008,0.050219876,0.15864498,98.73133899,99.47888682,229384.6809,222643.0447,6741.636233,4.525334509,4.392334524,0.132999985,17728.21205,0.349744758,7.728594596,0,0,8.18E-05,4,0.999918204,48898,1,1787,0,0,0,-0.001698202,0.730607847,0.076118005,0.142378031,0.111719601,0.888280399,0.857621969,NaN,0.142378031,NaN,NaN,0.621256614,0.087411402,NaN,0.142378031,0.263,0.373,0.265625,0.375,265.625,375,22355,3.51E+07,3906311,94.86476356,75.29630876,?
dataset_thema09-weka.filters.unsupervised.attribute.StringToNominal-Rlast,3,9,weka.classifiers.bayes.NaiveBayes,'',5.99523E+18,2.02E+07,456204,50689,43419,7270,0,85.65763775,14.34236225,0,0.03181088,0.050216382,0.158643979,98.72458755,99.4783911,229380.7036,222570.7603,6809.943283,4.525256044,4.390908488,0.134347556,17744.78931,0.350071797,7.735955567,5.59E-04,1,2.04E-05,1,0.999979551,48900,0.999440716,1787,0.5,5.59E-04,0.001117318,0.015824676,0.728539358,0.075435976,0.143423622,0.112092624,0.887907376,0.856576378,NaN,0.143423622,NaN,NaN,0.621195392,0.086767907,NaN,0.143423622,0.257,0.38,0.25,0.375,250,375,22355,3.51E+07,3906311,94.69904713,75.2726883,?
dataset_thema09-weka.filters.unsupervised.attribute.StringToNominal-Rlast,3,10,weka.classifiers.bayes.NaiveBayes,'',5.99523E+18,2.02E+07,456204,50689,43382,7307,0,85.58464361,14.41535639,0,0.03314343,0.050221297,0.158662496,98.73432252,99.49008581,229377.7496,222731.238,6646.51154,4.525197766,4.394074415,0.131123351,17697.01576,0.349129313,7.715227738,0,0,2.04E-05,1,0.999979551,48900,1,1788,0,0,0,-8.49E-04,0.718134621,0.074464191,0.144153564,0.111603992,0.888396008,0.855846436,NaN,0.144153564,NaN,NaN,0.620331642,0.086126581,NaN,0.144153564,0.252,0.373,0.25,0.375,250,375,22355,3.51E+07,3906311,94.77006846,75.18577782,?
